"FA-Fs","FA-Con","FA-Mot","FA-Act","Cogni","Depr","PhF","SocF","RolePh","RoleE","EmotWB","Pain","HealthP","ChangeH","FutU","Visual","Motor"
0,0.173191641642548,0,0.0919038499147924,0,0.168096933624186,0.142324930571358,0,0,0,0.0259853799131315,0.0256924929024058,0.0798794368374256,0.3081345346302,0.0169334160095466,0.0309657867743742,0
0.173191641642548,0,0,0.245532914841609,0.0393067029978977,0.0503574526712648,0.345397818217866,0,0,0,0.0539220859044773,0,0,0,0,0,0
0,0,0,0.16706464952958,0.30863318690287,0,0,0.197005983828989,0.154626557659449,0.0278100891513257,0,0.0927250781054823,0.0429042191044914,0,0.010015575082865,0,0
0.0919038499147924,0.245532914841609,0.16706464952958,0,0,0.0876004780883833,0,0.0463828694033703,0.00921634549955447,0,0,0,0.0664055061265014,0,0.0193805555353616,0,0
0,0.0393067029978977,0.30863318690287,0,0,0.187989485418928,0.0297928373108435,0.0176625877036626,0,0.00830102805115025,0,0,0,0,0,0,0.184496063869638
0.168096933624186,0.0503574526712648,0,0.0876004780883833,0.187989485418928,0,0,0,0,0,0.0208349881779393,0.115169069585895,0.111384425053535,0.0787682132237385,0.0446553878585443,0,0
0.142324930571358,0.345397818217866,0,0,0.0297928373108435,0,0,0,0.194689307392279,0,0.372951653060335,0,0,0,0.0935196047947665,0,0
0,0,0.197005983828989,0.0463828694033703,0.0176625877036626,0,0,0,0,0,0,0,0.282346792336135,0,0.344753443541394,0,0
0,0,0.154626557659449,0.00921634549955447,0,0,0.194689307392279,0,0,0,0.130437706428733,0,0,-0.0537352949582451,0,0,0
0,0,0.0278100891513257,0,0.00830102805115025,0,0,0,0,0,0,0.0321502826510011,0,0,0,0,0.0877729109970507
0.0259853799131315,0.0539220859044773,0,0,0,0.0208349881779393,0.372951653060335,0,0.130437706428733,0,0,0,0,0,0,0.0953317733335945,0
0.0256924929024058,0,0.0927250781054823,0,0,0.115169069585895,0,0,0,0.0321502826510011,0,0,0.200195051253128,0.115377721364167,0.0305924342467601,0.0461939189506228,0.0926500200928161
0.0798794368374256,0,0.0429042191044914,0.0664055061265014,0,0.111384425053535,0,0.282346792336135,0,0,0,0.200195051253128,0,0.045054358180814,0,0.00177465440102792,0.135161136316466
0.3081345346302,0,0,0,0,0.0787682132237385,0,0,-0.0537352949582451,0,0,0.115377721364167,0.045054358180814,0,0,0.0292913343477813,0
0.0169334160095466,0,0.010015575082865,0.0193805555353616,0,0.0446553878585443,0.0935196047947665,0.344753443541394,0,0,0,0.0305924342467601,0,0,0,0,0.0126488214739796
0.0309657867743742,0,0,0,0,0,0,0,0,0,0.0953317733335945,0.0461939189506228,0.00177465440102792,0.0292913343477813,0,0,0
0,0,0,0,0.184496063869638,0,0,0,0,0.0877729109970507,0,0.0926500200928161,0.135161136316466,0,0.0126488214739796,0,0
